SYMBOL,SERIES,LAST,TOTTRDVAL
PSUBNKBEES,EQ,42.05,57118746.15
ROLEXRINGS,EQ,1940,56978395.8
JKTYRE,EQ,162.95,56972192.45
HDFC,W3,628,56549760
KAJARIACER,EQ,1114,56442209.15
POLYPLEX,EQ,1262.95,56411403.3
RAMKY,EQ,334,56361652.65
CLOUD,SM,608.85,56085350
TINPLATE,EQ,321.1,55846570.5
PNB-RE,BE,141.1,54987696.5
UFLEX,EQ,384,54737951.1
EIHOTEL,EQ,170.7,54675153.3
PSB,EQ,28.15,54671320.5
TEGA,EQ,698.8,54621825.7
APOLLOPIPE,EQ,590,54575628.6
3MINDIA,EQ,22920.05,54508398.2
GHCL,BE,495,54073429.9
HGINFRA,EQ,841,52874405.1
DYNAMATECH,EQ,2882,52472166.2
NITINSPIN,EQ,256.55,52443728.2
IONEXCHANG,EQ,3400,51718216.25
GPIL,EQ,372,50861285.3
MAXVIL,EQ,171,50357368.4
AMBER,EQ,1863.95,50228391.75
KSB,EQ,2239.95,50150970.4
CCL,EQ,560.7,50110720.95
ITDCEM,EQ,111,49736545.05
ICIL,EQ,136.65,49728593.15
ETHOSLTD,EQ,1042.6,49728339
LSIL,EQ,18.75,49683189.8
SWANENERGY,EQ,227,49521543.35
MANORG,EQ,447.45,49418938.85
SESHAPAPER,EQ,265,49078352.2
LYKALABS,EQ,114.8,48843800.4
FORCEMOT,EQ,1252,48762592.65
GODREJIND,EQ,442,48592450.3
BFUTILITIE,EQ,329.4,48570518.1
CONFIPET,EQ,61.5,48563573.4
WONDERLA,EQ,440,48534682.4
SUNFLAG,EQ,153.05,48367041.95
CMSINFO,EQ,292,48306876.75
BIKAJI,EQ,357.8,47532307.65
SRHHYPOLTD,EQ,516,47477262.9
SRIVASAVI,SM,71.95,47148750
ISEC,EQ,455,47036828.7
PNCINFRA,EQ,286,46739692.65
UGARSUGAR,EQ,100.5,46698050.35
SAFARI,EQ,2248.5,46673836.85
KRBL,EQ,341,46629576.25
CESC,EQ,68.25,46600190.8
SHIVALIK,EQ,796.15,46385823.2
LGBBROSLTD,EQ,820,46213756.6
SIGACHI,EQ,243.5,46046614.65
STEELXIND,EQ,15.6,45691583.9
COFFEEDAY,EQ,33.1,45583357.85
CRAFTSMAN,EQ,3100,44935725.55
TAJGVK,EQ,208.55,44527151.6
INDIGRID,IV,137.45,44386047.95
KSL,EQ,321,44371966.25
NOCIL,EQ,220,43780510.2
FIEMIND,EQ,1580,43651861.7
KECL,EQ,79.5,43337361.75
BBOX,EQ,123.35,43189756.35
SIRCA,EQ,609,42995625.2
VMART,EQ,2149.7,42928281.45
CGCL,EQ,610,42751817.45
SBC,EQ,18.25,42550139.25
754GS2036,GS,104.6,42229156.47
UTIBANKETF,EQ,42.45,41957227.68
INDIAGLYCO,EQ,557.8,41903934.6
CENTURYTEX,EQ,663.4,41640387.4
MASTEK,EQ,1593,40454982.1
SALASAR,EQ,40.1,40371786.7
METROBRAND,EQ,800,40355705.25
JUNIORBEES,EQ,407.75,40269562.83
NDTV,EQ,190.95,40231209.05
MOLDTECH,EQ,271.2,40149008.1
JAMNAAUTO,EQ,101.95,39993742
DBL,EQ,177.6,39505269.05
POWERINDIA,EQ,3130,39395498.55
BHARATWIRE,EQ,148.8,39258479.4
SAKSOFT,EQ,158,39255936.85
ESABINDIA,EQ,3397.75,39062542.4
KOVAI,EQ,1983,39005086.05
HARSHA,EQ,412.4,38987099.75
ORIENTHOT,EQ,83.75,38923559.75
SUMICHEM,EQ,425.75,38918455.25
IZMO,EQ,138.9,38863601.85
RAMASTEEL,EQ,31.9,38713020.3
APLLTD,EQ,525,38618015.25
ASAHIINDIA,EQ,475,38573741.75
DAAWAT,EQ,98.05,38417816.75
PSPPROJECT,EQ,684.85,38351123.7
REFEX,EQ,293,38337168.05
KIRLFER,EQ,435.05,37763790.7
GREENPANEL,EQ,274.5,37670842.85
PFIZER,EQ,3755,37507423.4
AHLUCONT,EQ,516.55,37494933.85
KIRLOSBROS,EQ,436.5,37432593.95
RAILTEL,EQ,104.6,37427218.2
